1	130	2.19	5.473
2	129	2.57	5.084
3	126	2.61	5.139
4	129	2.89	4.565
5	129	2.75	4.886
6	132	2.02	5.937
7	133	2.15	5.272
8	132	2.77	5.325
9	130	2.75	5.555
10	127	2.74	4.824
11	128	2.47	5.136
12	128	2.63	5.219
13	131	2.44	5.377
14	130	2.25	4.775
15	129	2.27	4.586
16	127	2.31	5.179
17	129	2.67	5.435
18	129	2.00	4.964
19	126	2.22	4.934
20	128	2.09	4.828
21	129	2.01	5.434
22	127	2.30	5.090
23	128	2.01	4.923
24	127	2.22	4.384
25	129	2.70	4.742
26	127	2.44	4.923
27	126	2.46	4.541
28	124	1.85	4.720
29	121	2.67	4.321
30	120	2.61	3.789
31	122	2.07	4.150
32	122	2.14	3.710
33	124	2.08	4.837
34	122	2.13	4.528
35	124	2.09	4.342
36	123	1.93	4.656
37	120	1.85	4.291
38	123	2.10	4.437
39	126	1.94	4.683
40	126	2.45	4.906
41	124	2.62	4.311
42	125	2.41	4.916
43	128	2.40	4.906
44	129	2.11	5.376
45	127	1.98	5.197
46	129	2.58	5.427
47	132	2.24	5.109
48	134	2.70	6.069
49	135	2.90	5.538
50	133	2.33	5.505
51	134	2.33	5.490
52	131	2.70	5.574
53	134	2.82	5.513
54	131	2.86	5.112
55	129	2.45	5.220
56	130	2.01	4.899
57	130	2.79	4.687
58	130	2.91	5.048
59	130	2.22	5.110
60	131	2.55	5.001
61	131	2.31	5.796
62	129	2.31	4.836
63	130	2.43	5.115
64	127	2.17	5.084
65	129	2.81	5.508
66	126	1.86	4.987
67	124	2.45	4.767
68	124	2.53	4.179
69	124	2.28	4.516
70	123	1.91	4.154
71	120	2.29	4.044
72	118	2.33	3.910
73	117	2.28	3.621
74	119	2.53	3.798
75	119	1.89	3.986
76	122	2.04	4.025
77	125	2.71	4.325
78	123	2.20	4.466
79	122	2.63	4.205
80	122	1.96	4.339
81	122	2.27	3.675
82	120	2.28	3.742
83	123	2.27	3.852
84	121	2.13	4.402
